address,name,lat,lng,placement,racks,spaces
199 PARNASSUS AVE,Walgreens,37.764286, -122.452259,SIDEWALK,1,2
3600 SACRAMENTO ST,Bathsense,37.78776064, -122.45217402,SIDEWALK,1,2
3489 SACRAMENTO ST,,37.787659, -122.450056,SIDEWALK,1,
1667 HAIGHT ST,,37.769375, -122.450051,SIDEWALK,1,2
1665 HAIGHT ST,,37.769429, -122.449896,SIDEWALK,1,2
842 COLE ST,,37.766196, -122.449777,SIDEWALK,1,2
906 COLE ST,Val De Cole Wines & Spirits,37.765578, -122.449695,SIDEWALK,1,2
86 CARL ST,Burgermeister,37.765998, -122.449678,SIDEWALK,1,2
85 CARL ST,Urban Mercantile / Vierra & Friends,37.765599, -122.449515,PARKING_LANE,3,6
3442 SACRAMENTO ST,One Smart Kid,37.788130, -122.449468,SIDEWALK,1,2
1000 COLE ST,La Boulange Cafe & Bakery,37.764769, -122.449454,SIDEWALK,2,4
956 COLE ST,Cole Hardware,37.765369, -122.449451,SIDEWALK,1,2
956 COLE ST,Cole Hardware,37.765369, -122.449451,SIDEWALK,1,2
1644 HAIGHT ST,,37.769976, -122.449428,SIDEWALK,1,2
1640 HAIGHT ST,Bia's Restaurant and Wine Bar,37.769988, -122.449334,SIDEWALK,1,2
3435 SACRAMENTO ST,,37.787613, -122.449289,SIDEWALK,1,2
1632 HAIGHT ST,FTC Skateboarding,37.770005, -122.449201,PARKING_LANE,5,10
2801 GEARY BLVD,The Pig and Whistle Bar and Restaurant,37.781888, -122.449142,SIDEWALK,1,2
547 CLAYTON ST,residential,37.770395, -122.449007,SIDEWALK,1,2
1621 HAIGHT ST,Dr. Martens,37.769550, -122.448947,SIDEWALK,1,2
250 FOERSTER ST,Sunnyside Elementary School,37.730444, -122.448734,SIDEWALK,2,4
250 FOERSTER ST,Sunnyside Elementary School,37.730444, -122.448734,SIDEWALK,1,2
1501 WALLER ST,Soulful Pilates,37.768697, -122.448646,SIDEWALK,1,2
2739 GEARY BLVD,Nani's Coffee,37.781971, -122.448492,SIDEWALK,1,2
1935 HAYES ST,Bend Yoga Studio,37.773364, -122.448352,SIDEWALK,1,2
1935 HAYES ST,Bend Yoga Studio,37.773364, -122.448352,SIDEWALK,1,2
554 CLAYTON ST,Upper Haight Post Office,37.770047, -122.448334,SIDEWALK,1,2
1597 HAIGHT ST,,37.769636, -122.448328,SIDEWALK,1,2
558 CLAYTON ST,Haight Ashbury Free Clinic,37.769965, -122.448317,SIDEWALK,1,2
1920 HAYES ST,Freewheel Hayes,37.773876, -122.448154,SIDEWALK,1,2
1573 HAIGHT ST,,37.769627, -122.448060,SIDEWALK,1,2
5 MASONIC AVE,"Corner Store, The",37.782087, -122.448016,SIDEWALK,2,4
,Golden Gate Park Panhandle Children's Playground,37.772200, -122.447940,PARCEL,6,12
1543 HAIGHT ST,,37.769627, -122.447668,SIDEWALK,1,2
1530 HAIGHT ST,Haight Street Market,37.770206, -122.447629,SIDEWALK,2,4
3326 SACRAMENTO ST,,37.788333, -122.447550,SIDEWALK,1,2
3200 CALIFORNIA ST,Jewish Communtiy Center,37.787486, -122.447385,SIDEWALK,4,8
3200 CALIFORNIA ST,Jewish Communtiy Center,37.787486, -122.447385,SIDEWALK,4,8
3200 CALIFORNIA ST,Jewish Communtiy Center,37.787486, -122.447385,SIDEWALK,5,10
1871 HAYES ST,,37.773644, -122.447374,SIDEWALK,1,2
1519 HAIGHT ST,,37.769743, -122.447269,SIDEWALK,1,2
1519 HAIGHT ST,,37.769743, -122.447269,SIDEWALK,1,2
1860 HAYES ST,CCSF John Adams Campus,37.774299, -122.447012,SIDEWALK,1,2
2930 LYON ST,,37.798024, -122.446915,SIDEWALK,1,2
100 MASONIC AVE,,37.780685, -122.446879,SIDEWALK,1,2
1813 FULTON ST,Bistro Gambrinus,37.775598, -122.446780,SIDEWALK,1,2
270 MASONIC AVE,Blood Centers of the Pacific,37.778919, -122.446749,SIDEWALK,1,2
412 PRESIDIO ST,Bath Sense and More,37.788009, -122.446726,SIDEWALK,1,2
3290 SACRAMENTO ST,,37.788453, -122.446722,SIDEWALK,1,2
444 PRESIDIO AVE,Laurel Inn Hotel,37.787588, -122.446579,SIDEWALK,2,4
5609 MISSION ST,Philippine Delicacies,37.711165, -122.446396,SIDEWALK,1,2
51 HAVELOCK ST,Balboa Park Swimming Pool,37.724772, -122.446253,SIDEWALK,2,4
51 HAVELOCK ST,Balboa Park Swimming Pool,37.724772, -122.446253,SIDEWALK,1,2
3234 SACRAMENTO ST,Vintage a la Mode,37.788561, -122.446188,SIDEWALK,1,2
1777 FULTON ST,Papalote Restaurant,37.775693, -122.446031,SIDEWALK,1,2
1428 HAIGHT ST,Squat & Gobble,37.770366, -122.445966,SIDEWALK,1,2
1025 MASONIC AVE,Saint Agnes Church,37.771618, -122.445941,SIDEWALK,2,4
800 MASONIC AVE,Amiti's Deli Cafe,37.773847, -122.445833,SIDEWALK,2,4
1400 HAIGHT ST,Positively Haight Street Business.,37.770400, -122.445700,SIDEWALK,1,2
1419 HAIGHT ST,The Red Victorian,37.769988, -122.445650,SIDEWALK,1,2
1751 FULTON ST,,37.775633, -122.445541,SIDEWALK,1,2
601 BRUNSWICK ST,Lowell Market,37.709564, -122.445534,SIDEWALK,1,2
2797 UNION ST,,37.795672, -122.445202,SIDEWALK,1,2
1398 HAIGHT ST,Magnolia Brewery,37.77040275, -122.44512989,SIDEWALK,1,2
1206 MASONIC AVE,Coffee to the People,37.770055, -122.444985,SIDEWALK,2,4
300 SENECA AVE,San Miguel CDC (PreK & SA),37.721716, -122.444903,SIDEWALK,2,4
1520 LYON ST,The Little School,37.785136, -122.444717,SIDEWALK,2,4
1364 HAIGHT ST,,37.770580, -122.444696,SIDEWALK,1,2
1714 HAYES ST,Chop Shop,37.774266, -122.444669,SIDEWALK,1,2
5507 MISSION ST,Fresh Cuts Barber,37.712440, -122.444609,SIDEWALK,1,2
500 CORBETT AVE,Rooftop ES,37.757396, -122.444500,SIDEWALK,3,6
560 CENTRAL AVE,Bistro Central Parc,37.775002, -122.444280,SIDEWALK,3,6
1324 HAIGHT ST,Braindrops,37.770594, -122.444173,PARKING_LANE,4,8
1324 HAIGHT ST,Braindrops,37.770594, -122.444173,SIDEWALK,1,2
1296 HAIGHT ST,,37.770599, -122.443370,SIDEWALK,1,2
2097 TURK BLVD,St. Cyprian's Episcopal Church,37.778902, -122.443361,SIDEWALK,2,4
1401 BAKER ST,Karen Y Uchiyama Law Offices,37.784100, -122.443244,SIDEWALK,1,2
2901 CALIFORNIA ST,DREW Prepatrory School,37.787513, -122.442360,SIDEWALK,1,2
2365 CHESTNUT ST,Asa Sushi,37.799771, -122.442225,SIDEWALK,1,2
2975 WASHINGTON ST,Bloomers,37.790428, -122.442193,SIDEWALK,1,2
1800 MCALLISTER ST,McBaker Grocery/Liquor,37.77747422, -122.44204280,SIDEWALK,1,2
5210 MISSION ST,El Pollo Supremo,37.715611, -122.442021,SIDEWALK,1,2
2938 WASHINGTON ST,San Francisco Waldorf School,37.790783, -122.441910,SIDEWALK,1,2
601 BAKER ST,Chile Pies (& Ice Cream),37.776539, -122.441854,SIDEWALK,2,4
2876 CALIFORNIA ST,The Mindful Body,37.788163, -122.441761,SIDEWALK,1,2
1501 GROVE ST,Pacific Primary School,37.775283, -122.441606,SIDEWALK,2,4
2323 CHESTNUT ST,,37.799929, -122.441487,SIDEWALK,1,2
1798 MCALLISTER ST,Workshop SF,37.777571, -122.441473,SIDEWALK,2,4
1799 MCALLISTER ST,Matching Half Cafe,37.777218, -122.441426,SIDEWALK,1,2
1799 MCALLISTER ST,Matching Half Cafe,37.777218, -122.441426,SIDEWALK,1,2
2498 SUTTER ST,Stewart's Market,37.785259, -122.441417,SIDEWALK,1,2
201 OCEAN AVE,Discovery Carpet and Flooring,37.723133, -122.441394,SIDEWALK,1,2
1901 SAN JOSE AVE,Roxie Food Center,37.72668172, -122.44121727,SIDEWALK,1,2
1901 SAN JOSE AVE,Roxie Food Center,37.72668172, -122.44121727,SIDEWALK,1,2
2200 OFARRELL ST,Kaiser,37.78246242, -122.44112487,SIDEWALK,1,2
5159 MISSION ST,Acme Surplus Store,37.716015, -122.440995,SIDEWALK,1,2
2450 SUTTER ST,Russian Center of San Francsico,37.785402, -122.440916,SIDEWALK,1,2
3248 SCOTT ST,,37.799967, -122.440817,SIDEWALK,1,2
5080 MISSION ST,Rincon Latino,37.717252, -122.440800,SIDEWALK,1,2
2825 CALIFORNIA ST,,37.787838, -122.440731,SIDEWALK,1,2
2825 CALIFORNIA ST,,37.787838, -122.440731,SIDEWALK,1,2
2238 GEARY BLVD,Kaiser,37.783512, -122.440626,SIDEWALK,1,2
2238 GEARY BLVD,Kaiser,37.783512, -122.440626,SIDEWALK,1,2
2420 SUTTER ST,UCSF Mount Zion,37.785443, -122.440590,SIDEWALK,1,2
2420 SUTTER ST,new commercial development,37.785443, -122.440590,GARAGE,15,30
2269 CHESTNUT ST,,37.799980, -122.440579,SIDEWALK,1,2
1823 DIVISADERO ST,Yoga Works,37.786437, -122.440430,SIDEWALK,2,4
2794 CALIFORNIA ST,Cal-Divis Marketplace,37.788342, -122.440297,SIDEWALK,1,2
1701 DIVISADERO ST,medical offices,37.785488, -122.440238,SIDEWALK,1,2
1701 DIVISADERO ST,medical offices,37.785488, -122.440238,SIDEWALK,1,2
